iterations,test-F1-mean,test-F1-std,train-F1-mean,train-F1-std,test-Logloss-mean,test-Logloss-std,train-Logloss-mean,train-Logloss-std
137,1.0,0.0,1.0,0.0,0.002293853949424268,0.0007443148375497012,0.0010873297867962548,0.0001390615319095541
138,1.0,0.0,1.0,0.0,0.0022922431767478575,0.0007427273481716101,0.001085606440275228,0.00013825825480089676
139,1.0,0.0,1.0,0.0,0.0022893862640803817,0.0007414624525559397,0.0010831611427352917,0.00013764622204276013
140,1.0,0.0,1.0,0.0,0.0022869222973680094,0.0007390353725685811,0.001080604461965776,0.0001366233395463757
141,1.0,0.0,1.0,0.0,0.0022838455975149807,0.0007364017352745218,0.001077567402768356,0.00013567014607042188
142,1.0,0.0,1.0,0.0,0.002282240042221496,0.0007357352508506228,0.001075792602269515,0.0001358811364432822
143,1.0,0.0,1.0,0.0,0.0022801579978690262,0.0007348382032189978,0.0010735722947204037,0.00013642093390526134
144,1.0,0.0,1.0,0.0,0.0022780543579514136,0.0007322915712915926,0.00107149298055526,0.0001355361935041382
145,1.0,0.0,1.0,0.0,0.0022772349829464017,0.0007317717709032406,0.0010703881240679762,0.00013513455845757792
146,1.0,0.0,1.0,0.0,0.002276513958802471,0.0007312947772198238,0.0010694665666069743,0.0001348027009704297
147,1.0,0.0,1.0,0.0,0.0022742335258194002,0.0007285472582365309,0.0010669918984287994,0.00013391965624238016
148,1.0,0.0,1.0,0.0,0.0022729554216531066,0.0007274473011820901,0.0010656760493275399,0.00013349154424254652
149,1.0,0.0,1.0,0.0,0.0022711465505831584,0.0007253467112912525,0.0010638530284310555,0.0001328956747872064
150,1.0,0.0,1.0,0.0,0.0022684952192980412,0.0007232447867032374,0.0010609779265027455,0.00013312385417739507
151,1.0,0.0,1.0,0.0,0.0022671202899614187,0.0007238137665495691,0.0010593295253809789,0.00013446435176057818
152,1.0,0.0,1.0,0.0,0.002264703123188828,0.0007210023124765095,0.0010568448007083305,0.000133796731815418
153,1.0,0.0,1.0,0.0,0.002261917780109871,0.0007182754415554522,0.0010540413579897122,0.00013314998263808117
154,1.0,0.0,1.0,0.0,0.0022584205990645403,0.0007167553823151406,0.0010513755870031813,0.00013267169919247245
155,1.0,0.0,1.0,0.0,0.002257463597508337,0.0007161479452402415,0.0010503494710001973,0.00013251931678061663
156,1.0,0.0,1.0,0.0,0.0022566839102148894,0.0007156602964351923,0.0010493300617467362,0.00013240326710253883
157,1.0,0.0,1.0,0.0,0.0022557591902766317,0.000715074509313891,0.0010483396416478327,0.00013232575877672424
158,1.0,0.0,1.0,0.0,0.0022530526566356696,0.0007122686740436576,0.001045850344020581,0.0001319067274112901
159,1.0,0.0,1.0,0.0,0.0022515808784114863,0.0007107082836020169,0.0010444124040347425,0.0001317281614365671
160,1.0,0.0,1.0,0.0,0.0022505095134632497,0.0007096842155831772,0.0010432484493565456,0.00013164792732774024
161,1.0,0.0,1.0,0.0,0.0022497644806011305,0.0007092144893484452,0.001042281237550251,0.0001316822752781232
162,1.0,0.0,1.0,0.0,0.0022484340524335936,0.0007077351668847399,0.0010409976472709431,0.00013157493415198214
163,1.0,0.0,1.0,0.0,0.002245479142442308,0.0007065559352494213,0.0010383142744828106,0.0001329396294177465
164,1.0,0.0,1.0,0.0,0.00224423113104432,0.000706712334668829,0.0010370754754912236,0.00013425305258348968
165,1.0,0.0,1.0,0.0,0.0022441606136765647,0.0007066530989835131,0.0010370086444948675,0.0001342514895963173
166,1.0,0.0,1.0,0.0,0.0022428943109992164,0.0007048709693659394,0.0010357582181840302,0.00013407121766377612
167,1.0,0.0,1.0,0.0,0.002242360754788122,0.0007056921449949113,0.0010351551695707653,0.00013520753000572104
168,1.0,0.0,1.0,0.0,0.0022403167596516567,0.0007050866975235147,0.001032911987035478,0.00013650529678723393
169,1.0,0.0,1.0,0.0,0.0022393359130074607,0.0007037044767621107,0.0010320058065930668,0.00013640613458273902
170,1.0,0.0,1.0,0.0,0.002238276816829706,0.0007030754517890055,0.001031396439985368,0.0001364793269819353
171,1.0,0.0,1.0,0.0,0.002236859142951757,0.0007010649488880621,0.001029996604051342,0.00013637858583699167
172,1.0,0.0,1.0,0.0,0.002236132776929024,0.0007000484803317931,0.0010292797359954728,0.00013634923523008464
173,1.0,0.0,1.0,0.0,0.0022360987969699776,0.0007000436469639818,0.0010292463988897025,0.00013635802127307211
174,1.0,0.0,1.0,0.0,0.0022349272784090452,0.000698359588726253,0.0010280972215518398,0.00013633324028303808
175,1.0,0.0,1.0,0.0,0.0022339376762624753,0.00069694687079906,0.0010271207401605811,0.00013635181123421218
176,1.0,0.0,1.0,0.0,0.0022339023201085498,0.0006969297162829441,0.0010270875046447798,0.000136363683864188
177,1.0,0.0,1.0,0.0,0.002233860602748311,0.0006969241301341877,0.0010270466921392675,0.00013639039555103012
178,1.0,0.0,1.0,0.0,0.002233597077395734,0.0006968365518197848,0.0010267980262755804,0.0001365781713147051
179,1.0,0.0,1.0,0.0,0.002232157579304086,0.0006953829203490287,0.001025386451538226,0.0001366609553210644
180,1.0,0.0,1.0,0.0,0.0022303977865535977,0.0006937702254204557,0.0010238356893290325,0.00013642291254930742
181,1.0,0.0,1.0,0.0,0.002228837018092323,0.0006926954204605404,0.0010224266661785846,0.0001361310555052542
182,1.0,0.0,1.0,0.0,0.002228429283605094,0.0006921431493424206,0.0010220843954514753,0.00013618060506374532
183,1.0,0.0,1.0,0.0,0.002226211644342093,0.0006899302021919518,0.0010196773862360163,0.0001361504468170191
184,1.0,0.0,1.0,0.0,0.002224772412702111,0.0006882502073956202,0.0010183401382997891,0.00013627481513475682
185,1.0,0.0,1.0,0.0,0.002223388481072339,0.0006863680020340531,0.0010169815461042449,0.00013643542539875343
186,1.0,0.0,1.0,0.0,0.002221807975006383,0.0006848670522270543,0.0010156187348041139,0.00013636457253030397
187,1.0,0.0,1.0,0.0,0.0022209771478061183,0.000684471743463223,0.0010148499914791635,0.00013623286007582314
188,1.0,0.0,1.0,0.0,0.0022200754809325006,0.0006831605421391176,0.0010139617676523083,0.0001364066742634658
189,1.0,0.0,1.0,0.0,0.0022189035966406413,0.0006821511980114564,0.0010127672636526413,0.00013701870827626268
190,1.0,0.0,1.0,0.0,0.002217384179684459,0.0006814572780342514,0.0010111991776988766,0.00013826075440087342
191,1.0,0.0,1.0,0.0,0.0022156038899582764,0.0006793386086066933,0.0010092001272424365,0.0001385886744609048
192,1.0,0.0,1.0,0.0,0.0022138640604438395,0.0006772867298014622,0.001007328001031299,0.00013895744463654695
193,1.0,0.0,1.0,0.0,0.0022127852473371222,0.0006774400824844406,0.0010061053639266045,0.0001397429394484475
